Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,127.410004,128.369995,126.559998,127.809998,125.117142,98208600
2020-12-17,128.899994,129.580002,128.039993,128.699997,125.988388,94359800
2020-12-18,128.960007,129.100006,126.120003,126.660004,123.991386,192541500
2020-12-21,125.019997,128.309998,123.449997,128.229996,125.528305,121251600
2020-12-22,131.610001,134.410004,129.649994,131.880005,129.101379,168904800
2020-12-23,132.160004,132.429993,130.779999,130.960007,128.200806,88223700
2020-12-24,131.320007,133.460007,131.100006,131.970001,129.189484,54930100
2020-12-28,133.990005,137.339996,133.509995,136.690002,133.810074,124486200
2020-12-29,138.050003,138.789993,134.339996,134.869995,132.028427,121047300
2020-12-30,135.580002,135.990005,133.399994,133.720001,130.902634,96452100
2020-12-31,134.080002,134.740005,131.720001,132.690002,129.894333,99116600
2021-01-04,133.520004,133.610001,126.760002,129.410004,126.683456,143301900
2021-01-05,128.889999,131.740005,128.429993,131.009995,128.249725,97664900
2021-01-06,127.720001,131.050003,126.379997,126.599998,123.932648,155088000
2021-01-07,128.360001,131.630005,127.860001,130.919998,128.161606,109578200
2021-01-08,132.429993,132.630005,130.229996,132.050003,129.267792,105158200
2021-01-11,129.190002,130.169998,128.500000,128.979996,126.262512,100384500
2021-01-12,128.500000,129.690002,126.860001,128.800003,126.086281,91951100
2021-01-13,128.759995,131.449997,128.490005,130.889999,128.132263,88636800
2021-01-14,130.800003,131.000000,128.759995,128.910004,126.194000,90221800
2021-01-15,128.779999,130.220001,127.000000,127.139999,124.461250,111598500
2021-01-19,127.779999,128.710007,126.940002,127.830002,125.136719,90757300
2021-01-20,128.660004,132.490005,128.550003,132.029999,129.248215,104319500
2021-01-21,133.800003,139.669998,133.589996,136.869995,133.986252,120150900
2021-01-22,136.279999,139.850006,135.020004,139.070007,136.139923,114459400
2021-01-25,143.070007,145.089996,136.539993,142.919998,139.908752,157611700
2021-01-26,143.600006,144.300003,141.369995,143.160004,140.143738,98390600
2021-01-27,143.429993,144.300003,140.410004,142.059998,139.066910,140843800
2021-01-28,139.520004,141.990005,136.699997,137.089996,134.201630,142621100
2021-01-29,135.830002,136.740005,130.210007,131.960007,129.179688,177523800
2021-02-01,133.750000,135.380005,130.929993,134.139999,131.313751,106239800
2021-02-02,135.729996,136.309998,134.610001,134.990005,132.145874,83305400
2021-02-03,135.759995,135.770004,133.610001,133.940002,131.117981,89880900
2021-02-04,136.300003,137.399994,134.589996,137.389999,134.495316,84183100
2021-02-05,137.350006,137.419998,135.860001,136.759995,134.078613,75693800
2021-02-08,136.029999,136.960007,134.919998,136.910004,134.225723,71297200
2021-02-09,136.619995,137.880005,135.850006,136.009995,133.343323,76774200
2021-02-10,136.479996,136.990005,134.399994,135.389999,132.735489,73046600
2021-02-11,135.899994,136.389999,133.770004,135.130005,132.480576,64280000
2021-02-12,134.350006,135.529999,133.690002,135.369995,132.715897,60145100
2021-02-16,135.490005,136.009995,132.789993,133.190002,130.578613,80576300
2021-02-17,131.250000,132.220001,129.470001,130.839996,128.274719,97918500
2021-02-18,129.199997,130.000000,127.410004,129.710007,127.166885,96856700
2021-02-19,130.240005,130.710007,128.800003,129.869995,127.323746,87668800
2021-02-22,128.009995,129.720001,125.599998,126.000000,123.529602,103916400
2021-02-23,123.760002,126.709999,118.389999,125.860001,123.392357,158273000
2021-02-24,124.940002,125.559998,122.230003,125.349998,122.892357,111039900
2021-02-25,124.680000,126.459999,120.540001,120.989998,118.617836,148199500
2021-02-26,122.589996,124.849998,121.199997,121.260002,118.882538,164560400
2021-03-01,123.750000,127.930000,122.790001,127.790001,125.284515,116307900
2021-03-02,128.410004,128.720001,125.010002,125.120003,122.666870,102260900
2021-03-03,124.809998,125.709999,121.839996,122.059998,119.666840,112966300
2021-03-04,121.750000,123.599998,118.620003,120.129997,117.774689,178155000
2021-03-05,120.980003,121.940002,117.570000,121.419998,119.039406,153766600
2021-03-08,120.930000,121.000000,116.209999,116.360001,114.078606,154376600
2021-03-09,119.029999,122.059998,118.790001,121.089996,118.715866,129525800
2021-03-10,121.690002,122.169998,119.449997,119.980003,117.627640,111943300
2021-03-11,122.540001,123.209999,121.260002,121.959999,119.568825,103026500
2021-03-12,120.400002,121.169998,119.160004,121.029999,118.657059,88105100
2021-03-15,121.410004,124.000000,120.419998,123.989998,121.559006,92403800
2021-03-16,125.699997,127.220001,124.720001,125.570000,123.108032,115227900
2021-03-17,124.050003,125.860001,122.339996,124.760002,122.313911,111932600
2021-03-18,122.879997,123.180000,120.320000,120.529999,118.166847,121229700
2021-03-19,119.900002,121.430000,119.680000,119.989998,117.637451,185549500
2021-03-22,120.330002,123.870003,120.260002,123.389999,120.970779,111912300
2021-03-23,123.330002,124.239998,122.139999,122.540001,120.137428,95467100
2021-03-24,122.820000,122.900002,120.070000,120.089996,117.735474,88530500
2021-03-25,119.540001,121.660004,119.000000,120.589996,118.225647,98844700
2021-03-26,120.349998,121.480003,118.919998,121.209999,118.833511,94071200
2021-03-29,121.650002,122.580002,120.730003,121.389999,119.009979,80819200
2021-03-30,120.110001,120.400002,118.860001,119.900002,117.549210,85671900
2021-03-31,121.650002,123.519997,121.150002,122.150002,119.755089,118323800
2021-04-01,123.660004,124.180000,122.489998,123.000000,120.588425,75089100
2021-04-05,123.870003,126.160004,123.070000,125.900002,123.431564,88651200
2021-04-06,126.500000,127.129997,125.650002,126.209999,123.735474,80171300
2021-04-07,125.830002,127.919998,125.139999,127.900002,125.392342,83466700
2021-04-08,128.949997,130.389999,128.520004,130.360001,127.804123,88844600
2021-04-09,129.800003,133.039993,129.470001,133.000000,130.392349,106686700
2021-04-12,132.520004,132.850006,130.630005,131.240005,128.666855,91420000
2021-04-13,132.440002,134.660004,131.929993,134.429993,131.794327,91266500
2021-04-14,134.940002,135.000000,131.660004,132.029999,129.441406,87222800
2021-04-15,133.820007,135.000000,133.639999,134.500000,131.862961,89347100
2021-04-16,134.300003,134.669998,133.279999,134.160004,131.529633,84922400
2021-04-19,133.509995,135.470001,133.339996,134.839996,132.196274,94264200
2021-04-20,135.020004,135.529999,131.809998,133.110001,130.500198,94812300
2021-04-21,132.360001,133.750000,131.300003,133.500000,130.882538,68847100
2021-04-22,133.039993,134.149994,131.410004,131.940002,129.353149,84566500
2021-04-23,132.160004,135.119995,132.160004,134.320007,131.686539,78657500
2021-04-26,134.830002,135.059998,133.559998,134.720001,132.078629,66905100
2021-04-27,135.009995,135.410004,134.110001,134.389999,131.755112,66015800
2021-04-28,134.309998,135.020004,133.080002,133.580002,130.960968,107760100
2021-04-29,136.470001,137.070007,132.449997,133.479996,130.862915,151101000
2021-04-30,131.779999,133.559998,131.070007,131.460007,128.882553,109839500
2021-05-03,132.039993,134.070007,131.830002,132.539993,129.941376,75135100
2021-05-04,131.190002,131.490005,126.699997,127.849998,125.343338,137564700
2021-05-05,129.199997,130.449997,127.970001,128.100006,125.588448,84000900
2021-05-06,127.889999,129.750000,127.129997,129.740005,127.196281,78128300
2021-05-07,130.850006,131.259995,129.479996,130.210007,127.873901,78973300
2021-05-10,129.410004,129.539993,126.809998,126.849998,124.574181,88071200
2021-05-11,123.500000,126.269997,122.769997,125.910004,123.651039,126142800
2021-05-12,123.400002,124.639999,122.250000,122.769997,120.567360,112172300
2021-05-13,124.580002,126.150002,124.260002,124.970001,122.727890,105861300
2021-05-14,126.250000,127.889999,125.849998,127.449997,125.163414,81918000
2021-05-17,126.820000,126.930000,125.169998,126.269997,124.004578,74244600
2021-05-18,126.559998,126.989998,124.779999,124.849998,122.610054,63342900
2021-05-19,123.160004,124.919998,122.860001,124.690002,122.452927,92612000
2021-05-20,125.230003,127.720001,125.099998,127.309998,125.025925,76857100
2021-05-21,127.820000,128.000000,125.209999,125.430000,123.179657,79295400
2021-05-24,126.010002,127.940002,125.940002,127.099998,124.819687,63092900
2021-05-25,127.820000,128.320007,126.320000,126.900002,124.623276,72009500
2021-05-26,126.959999,127.389999,126.419998,126.849998,124.574181,56575900
2021-05-27,126.440002,127.639999,125.080002,125.279999,123.032341,94625600
2021-05-28,125.570000,125.800003,124.550003,124.610001,122.374352,71311100
2021-06-01,125.080002,125.349998,123.940002,124.279999,122.050270,67637100
2021-06-02,124.279999,125.239998,124.050003,125.059998,122.816284,59278900
2021-06-03,124.680000,124.849998,123.129997,123.540001,121.323555,76229200
2021-06-04,124.070000,126.160004,123.849998,125.889999,123.631409,75169300
2021-06-07,126.169998,126.320000,124.830002,125.900002,123.641212,71057600
2021-06-08,126.599998,128.460007,126.209999,126.739998,124.466141,74403800
2021-06-09,127.209999,127.750000,126.519997,127.129997,124.849152,56877900
2021-06-10,127.019997,128.190002,125.940002,126.110001,123.847458,71186400
2021-06-11,126.529999,127.440002,126.099998,127.349998,125.065216,53522400
2021-06-14,127.820000,130.539993,127.070000,130.479996,128.139069,96906500
2021-06-15,129.940002,130.600006,129.389999,129.639999,127.314133,62746300
2021-06-16,130.369995,130.889999,128.460007,130.149994,127.814972,91815000
2021-06-17,129.800003,132.550003,129.649994,131.789993,129.425552,96721700
2021-06-18,130.710007,131.509995,130.240005,130.460007,128.119431,108953300
2021-06-21,130.300003,132.410004,129.210007,132.300003,129.926422,79663300
2021-06-22,132.130005,134.080002,131.619995,133.979996,131.576248,74783600
2021-06-23,133.770004,134.320007,133.229996,133.699997,131.301270,60214200
2021-06-24,134.449997,134.639999,132.929993,133.410004,131.016479,68711000
2021-06-25,133.460007,133.889999,132.809998,133.110001,130.721863,70783700
2021-06-28,133.410004,135.250000,133.350006,134.779999,132.361893,62111300
2021-06-29,134.800003,136.490005,134.350006,136.330002,133.884079,64556100
2021-06-30,136.169998,137.410004,135.869995,136.960007,134.502792,63261400
2021-07-01,136.600006,137.330002,135.759995,137.270004,134.807220,52485800
2021-07-02,137.899994,140.000000,137.750000,139.960007,137.448975,78852600
2021-07-06,140.070007,143.149994,140.070007,142.020004,139.472031,108181800
2021-07-07,143.539993,144.889999,142.660004,144.570007,141.976242,104911600
2021-07-08,141.580002,144.059998,140.669998,143.240005,140.670135,105575500
2021-07-09,142.750000,145.649994,142.649994,145.110001,142.506577,99890800
2021-07-12,146.210007,146.320007,144.000000,144.500000,141.907547,76299700
2021-07-13,144.029999,147.460007,143.630005,145.639999,143.027084,100827100
2021-07-14,148.100006,149.570007,147.679993,149.149994,146.474106,127050800
2021-07-15,149.240005,150.000000,147.089996,148.479996,145.816101,106820300
2021-07-16,148.460007,149.759995,145.880005,146.389999,143.763596,93251400
2021-07-19,143.750000,144.070007,141.669998,142.449997,139.894302,121434600
2021-07-20,143.460007,147.100006,142.960007,146.149994,143.527893,96350000
2021-07-21,145.529999,146.130005,144.630005,145.399994,142.791367,74993500
2021-07-22,145.940002,148.199997,145.809998,146.800003,144.166245,77338200
2021-07-23,147.550003,148.720001,146.919998,148.559998,145.894653,71447400
2021-07-26,148.270004,149.830002,147.699997,148.990005,146.316940,72434100
2021-07-27,149.119995,149.210007,145.550003,146.770004,144.136795,104818600
2021-07-28,144.809998,146.970001,142.539993,144.979996,142.378906,118931200
2021-07-29,144.690002,146.550003,144.580002,145.639999,143.027084,56699500
2021-07-30,144.380005,146.330002,144.110001,145.860001,143.243088,70440600
2021-08-02,146.360001,146.949997,145.250000,145.520004,142.909241,62880000
2021-08-03,145.809998,148.039993,145.179993,147.360001,144.716187,64786600
2021-08-04,147.270004,147.789993,146.279999,146.949997,144.313583,56368300
2021-08-05,146.979996,147.839996,146.169998,147.059998,144.421570,46397700
2021-08-06,146.350006,147.110001,145.630005,146.139999,143.733124,54126800
2021-08-09,146.199997,146.699997,145.520004,146.089996,143.683945,48908700
2021-08-10,146.440002,147.710007,145.300003,145.600006,143.202011,69023100
2021-08-11,146.050003,146.720001,145.529999,145.860001,143.457733,48493500
2021-08-12,146.190002,149.050003,145.839996,148.889999,146.437836,72282600
2021-08-13,148.970001,149.440002,148.270004,149.100006,146.644379,59375000
2021-08-16,148.539993,151.190002,146.470001,151.119995,148.631119,103296000
2021-08-17,150.229996,151.679993,149.089996,150.190002,147.716415,92229700
2021-08-18,149.800003,150.720001,146.149994,146.360001,143.949509,86326000
2021-08-19,145.029999,148.000000,144.500000,146.699997,144.283890,86960300
2021-08-20,147.440002,148.500000,146.779999,148.190002,145.749359,60549600
2021-08-23,148.309998,150.190002,147.889999,149.710007,147.244293,60131800
2021-08-24,149.449997,150.860001,149.149994,149.619995,147.155792,48606400
2021-08-25,149.809998,150.320007,147.800003,148.360001,145.916565,58991300
2021-08-26,148.350006,149.119995,147.509995,147.539993,145.110062,48597200
2021-08-27,147.479996,148.750000,146.830002,148.600006,146.152634,55802400
2021-08-30,149.000000,153.490005,148.610001,153.119995,150.598160,90956700
2021-08-31,152.660004,152.800003,151.289993,151.830002,149.329422,86453100
2021-09-01,152.830002,154.979996,152.339996,152.509995,149.998199,80313700
2021-09-02,153.869995,154.720001,152.399994,153.649994,151.119431,71115500
2021-09-03,153.759995,154.630005,153.089996,154.300003,151.758743,57808700
2021-09-07,154.970001,157.259995,154.389999,156.690002,154.109390,82278300
